Match ,Teams,Venue,Scoreline,Home Goals ,Away Goals,Home Possession,Away Possession,Home Shots,Away Shots,Home SoT,Away SoT,Home Passes,Away Passes,Home Pass Acc,Away Pass Acc,Home Fouls,Away Fouls,Home Yellows,Away Yellows,Home Reds,Away Reds,Home Offsides,Away Offsides,Home Corners,Away Corners,Home Saves,Away Saves,Goals Diff,Possession Diff,Shots Diff,SoT Diff,Passes Diff,Pass Acc Diff,Fouls Diff,Yellows Diff,Reds Diff,Offsides Diff,Corners Diff,Saves Diff,Stat score abs,Stat score pure,Normalized stat score abs,Normalized stat score pure,Balance
LEAGUE_LEAGUE_,Newcastle vs Liverpool,St. James' Park,3-3,3,3,49,51,15,17,6,5,293,467,88,93,9,17,2,5,0,0,4,0,5,6,2,3,0,-2,-2,1,-174,-5,8,3,0,-4,-1,-1,25.24,-7.24,2.524,-0.724,74.76
LEAGUE_LEAGUE_,Bayern vs Dortmund,Allianz Arena,2-2,2,2,61,39,25,10,11,2,571,324,93,85,9,5,0,0,0,0,2,2,6,5,0,9,0,22,15,9,247,8,-4,0,0,0,1,-9,75.47,71.47,7.547,7.147,24.53
LEAGUE_LEAGUE_,Barcelona vs  Celta Vigo,Estadi Olímpic Lluís Companys,4-3,4,3,71,29,17,12,6,9,722,219,92,82,10,12,2,2,0,0,0,0,4,1,6,2,1,42,5,-3,503,10,2,0,0,0,3,4,74.03,62.03,7.403,6.203,25.97
CUP_SF_L1,Barcelona vs Atlético Madrid,Estadi Olímpic Lluís Companys,4-4,4,4,68,32,16,10,9,7,677,325,88,76,12,10,0,4,0,0,0,3,8,3,3,5,0,36,6,2,352,12,-2,4,0,3,5,-2,75.02,73.02,7.502,7.302,24.98
LEAGUE_LEAGUE_,Everton vs Ipswich Town,Goodison Park,2-2,2,2,53,47,6,10,4,5,435,331,92,92,12,15,4,4,0,0,0,0,2,3,3,2,0,6,-4,-1,104,0,3,0,0,0,-1,1,17.04,0.04,1.704,0.004,82.96
WC_QF_,Netherlands vs Argentina,Lusail Stadium,2-2,2,2,52,48,6,14,2,5,634,602,83,82,30,18,6,8,1,0,1,2,2,8,3,0,0,4,-8,-3,32,1,-12,2,-1,1,-6,3,37.32,-20.68,3.732,-2.068,62.68
WC_F_,Argentina vs France,Lusail Stadium,3-3,3,3,54,46,20,10,10,5,635,532,82,76,26,19,5,3,0,0,4,4,6,5,2,7,0,8,10,5,103,6,-7,-2,0,0,1,-5,46.03,35.03,4.603,3.503,53.97
UCL_QF_L1,Barcelona vs Dortmund,Estadi Olímpic Lluís Companys,4-0,4,0,59,41,17,10,9,2,520,290,91,87,5,11,0,2,0,0,1,4,4,6,2,5,4,18,7,7,230,4,6,2,0,3,-2,-3,61.8,59.8,6.18,5.98,38.2
UCL_QF_L2,Dortmund vs Barcelona,Signul Iduna Park,3-1,3,1,48,52,14,7,11,2,392,428,92,93,14,10,1,1,0,0,4,2,8,4,1,8,2,-4,7,9,-36,-1,-4,0,0,-2,4,-7,41.86,23.14,4.186,2.314,58.14
UCL_GS_,Dortmund vs Barcelona,Signul Iduna Park,2-3,2,3,42,58,10,12,2,8,364,494,89,92,9,9,4,2,0,0,6,0,2,3,5,0,-1,-16,-2,-6,-130,-3,0,-2,0,-6,-1,5,44.8,-44.8,4.48,-4.48,55.2
UCL_PL_L1,Man City vs Real Madrid,Etihad Stadium,2-3,2,3,57,43,8,19,3,8,460,387,94,95,7,5,0,0,0,0,1,2,6,5,5,1,-1,14,-11,-5,73,-1,-2,0,0,1,1,4,45.73,-13.27,4.573,-1.327,54.27
UCL_PL_L2,Real Madrid vs Man City ,Estadio Santiago Bernabeu,3-1,3,1,47,53,14,11,7,4,451,497,94,93,9,9,1,2,0,0,0,1,7,5,3,4,2,-6,3,3,-46,1,0,1,0,1,2,-1,22.96,10.04,2.296,1.004,77.04
LEAGUE_LEAGUE_,Man City vs Liverpool,Etihad Stadium,0-2,0,2,66,34,15,7,5,4,631,280,94,88,3,10,0,0,0,0,2,4,7,5,2,5,-2,32,8,1,351,6,7,0,0,2,2,-3,64.01,60.01,6.401,6.001,35.99
LEAGUE_LEAGUE_,Liverpool vs Man United,Anfield,2-2,2,2,52,48,16,12,6,4,375,331,93,85,10,12,2,4,0,0,0,4,6,9,2,4,0,4,4,2,44,8,2,2,0,4,-3,-2,30.94,27.94,3.094,2.794,69.06
UEL_SF_L1,Athletic Club vs Man United,San Mamés,0-3,0,3,34,66,9,15,3,8,161,566,83,91,18,9,3,3,1,0,0,4,4,5,5,3,-3,-32,-6,-5,-405,-8,-9,0,-1,4,-1,2,77.05,-69.05,7.705,-6.905,22.95
UEL_SF_L2,Man United vs Athletic Club,Old Trafford,4-1,4,1,47,53,10,12,5,1,382,368,88,88,9,16,3,4,0,0,2,0,0,2,0,1,3,-6,-2,4,14,0,7,1,0,-2,-2,-1,27.64,3.64,2.764,0.364,72.36
UECL_SF_L1,Real Betis vs Fiorentina,Benito Villamarín,2-1,2,1,45,55,14,7,5,2,387,470,85,87,19,16,2,4,0,0,1,4,6,2,1,3,1,-10,7,3,-83,-2,-3,2,0,3,4,-2,38.83,10.17,3.883,1.017,61.17
UECL_SF_L2,Fiorentina vs Real Betis,Stadio Artemio Franchi,2-2,2,2,57,43,23,28,7,10,611,483,82,84,14,19,7,4,0,0,3,0,12,9,8,5,0,14,-5,-3,128,-2,5,-3,0,-3,3,3,40.78,-2.22,4.078,-0.222,59.22
LEAGUE_LEAGUE_,Chelsea vs Liverpool,Stamford Bridge,3-1,3,1,34,66,16,9,6,2,284,561,94,92,10,10,2,2,0,0,6,0,3,6,1,3,2,-32,7,4,-277,2,0,0,0,-6,-3,-2,64.77,-19.77,6.477,-1.977,35.23
LEAGUE_LEAGUE_,Arsenal vs Tottenham,Emirates Stadium,2-1,2,1,58,42,17,7,5,2,398,348,89,91,16,9,3,1,0,0,3,1,10,4,1,3,1,16,10,3,50,-2,7,-2,0,-2,6,-2,51,39,5.1,3.9,49
LEAGUE_LEAGUE_,Real Madrid vs Barcelona,Estadio Santiago Bernabeu,0-4,0,4,42,58,12,17,5,8,278,398,89,90,12,16,2,5,0,0,12,1,10,3,4,5,-4,-16,-5,-3,-120,-1,-4,3,0,-11,7,-1,55.2,-42.2,5.52,-4.22,44.8
UCL_GS_,Atlético Madrid vs Leverkusen,Riyadh Air Metropolitano,2-1,2,1,30,70,6,12,2,4,267,651,88,96,7,15,2,3,1,1,0,3,3,4,3,0,1,-40,-6,-2,-384,-8,-8,1,0,3,-1,3,74.34,-64.34,7.434,-6.434,25.66
UCL_GS_,Man City vs Feyenoord,Etihad Stadium,3-3,3,3,62,38,19,7,11,4,591,335,92,91,6,11,1,1,0,0,0,1,10,2,1,8,0,24,12,7,256,1,-5,0,0,1,8,-7,67.06,62.06,6.706,6.206,32.94
UCL_GS_,Liverpool vs Leverkusen,Anfield,4-0,4,0,54,46,22,12,8,4,449,462,93,90,15,9,0,2,0,0,0,1,1,3,4,4,4,8,10,4,-13,3,6,2,0,1,-2,0,45.13,42.87,4.513,4.287,54.87
UCL_GS_,Juventus vs PSV,Allianz Stadium,3-1,3,1,49,51,13,15,5,7,450,573,90,92,5,6,0,0,0,0,2,1,2,4,6,2,2,-2,-2,-2,-123,-2,-1,0,0,-1,-2,4,16.73,-12.73,1.673,-1.273,83.27
UCL_GS_,Milan vs Liverpool,San Siro,1-3,1,3,48,52,8,22,2,12,416,410,91,90,8,11,2,2,0,0,2,2,2,5,9,1,-2,-4,-14,-10,6,1,-3,0,0,0,-3,8,51.06,-48.94,5.106,-4.894,48.94
UCL_GS_,Monaco vs Barcelona,Stade Louis II,2-1,2,1,55,45,17,3,9,1,399,279,91,88,14,12,4,3,0,1,7,2,10,0,0,7,1,10,14,8,120,3,2,-1,1,-5,10,-7,66.2,54.2,6.62,5.42,33.8
LEAGUE_LEAGUE_,Man City vs Aston Villa,Old Trafford,2-0,2,0,67,33,27,5,11,1,539,226,94,87,10,9,2,2,0,1,5,3,4,3,1,9,2,34,22,10,313,7,1,0,1,-2,1,-8,104.13,100.13,10.413,10.013,-4.13
LEAGUE_LEAGUE_,Liverpool vs Crystal Palace,Anfield,1-1,1,1,70,30,13,7,4,5,591,254,91,83,7,9,2,0,1,0,1,2,11,0,4,3,0,40,6,-1,337,8,-2,-2,-1,1,11,1,73.87,59.87,7.387,5.987,26.13
LEAGUE_LEAGUE_,Leicester City vs Southampton,King Power Stadium,2-0,2,0,51,49,12,5,5,1,405,418,93,91,12,13,1,3,0,0,1,1,6,7,1,3,2,2,7,4,-13,2,-1,2,0,0,-1,-2,27.63,25.37,2.763,2.537,72.37
UCL_QF_L1,PSG vs Aston Villa,Parc des Princes,3-1,3,1,67,33,30,6,11,2,757,215,96,80,10,8,0,1,0,0,2,1,9,1,1,8,2,34,24,9,542,16,2,1,0,-1,8,-7,118.42,116.42,11.842,11.642,-18.42
UCL_QF_L2,Aston Villa vs PSG,Villa Park,3-2,3,2,34,66,15,15,7,7,266,500,83,95,15,5,1,0,0,0,2,5,5,5,5,4,1,-32,0,0,-234,-12,10,-1,0,3,0,1,56.34,-38.34,5.634,-3.834,43.66
LEAGUE_LEAGUE_,Villareal vs Sevilla,Estadio de la Ceramica,4-2,4,2,51,49,10,11,6,5,401,426,92,92,8,12,0,1,0,0,0,3,3,5,3,2,2,2,-1,1,-25,0,-4,1,0,3,-2,1,14.75,5.25,1.475,0.525,85.25
LEAGUE_LEAGUE_,Valencia vs Getafe,Mestalla,3-0,3,0,59,41,10,5,6,1,347,214,87,82,15,16,3,5,0,0,0,5,2,6,1,3,3,18,5,5,133,5,-1,2,0,5,-4,-2,54.33,49.33,5.433,4.933,45.67
LEAGUE_LEAGUE_,Napoli vs Inter,Stadio Diego Armando Maradona,1-1,1,1,60,40,16,5,5,1,471,271,91,85,6,14,1,0,0,0,1,0,12,3,0,4,0,20,11,4,200,6,-8,-1,0,-1,9,-4,63,51,6.3,5.1,37
LEAGUE_LEAGUE_,Inter vs Napoli,San Siro,1-1,1,1,53,47,11,3,4,2,452,376,87,87,14,10,1,0,0,0,3,1,4,2,1,3,0,6,8,2,76,0,4,-1,0,-2,2,-2,28.76,22.76,2.876,2.276,71.24
UEL_F_,Atalanta vs Leverkusen,Aviva Stadium,3-0,3,0,42,58,10,10,7,3,243,585,74,85,21,12,4,3,0,0,1,0,2,5,3,4,3,-16,0,4,-342,-11,9,-1,0,-1,-3,-1,49.42,-18.42,4.942,-1.842,50.58
LEAGUE_LEAGUE_,NY Red Bulls vs Inter Miami,Red Bull Arena,1-5,1,5,39,61,9,12,3,8,320,577,88,91,12,8,2,3,0,0,2,1,2,4,3,2,-4,-22,-3,-5,-257,-3,4,1,0,-1,-2,1,51.07,-45.07,5.107,-4.507,48.93
LEAGUE_LEAGUE_,LAFC vs LA Galaxy,BMO Stadium,3-3,3,3,34,66,6,4,4,3,356,676,91,94,7,7,3,4,1,0,0,2,4,3,0,1,0,-32,2,1,-320,-3,0,1,-1,2,1,-1,48.7,-31.7,4.87,-3.17,51.3
LEAGUE_LEAGUE_,Atlético Madrid vs Real Betis,Riyadh Air Metropolitano,4-1,4,1,44,56,19,11,11,7,429,558,91,93,12,9,1,1,0,0,2,1,7,4,6,7,3,-12,8,4,-129,-2,3,0,0,-1,3,-1,42.29,9.71,4.229,0.971,57.71
LEAGUE_LEAGUE_,Atlético Madrid vs Real Madrid,Riyadh Air Metropolitano,1-1,1,1,50,50,12,9,4,4,502,498,94,93,13,11,3,1,1,0,2,0,5,5,3,3,0,0,3,0,4,1,2,-2,-1,-2,0,0,12.54,0.54,1.254,0.054,87.46
LEAGUE_LEAGUE_,Real Madrid vs Atlético Madrid,Estadio Santiago Bernabeu,1-1,1,1,61,39,20,11,9,2,604,374,94,90,13,14,1,3,0,0,2,1,6,1,1,8,0,22,9,7,230,4,-1,2,0,-1,5,-7,61.8,58.8,6.18,5.88,38.2
UCL_QF_L1,PSG vs Barcelona,Parc des Princes,2-3,2,3,56,44,18,15,6,6,509,340,90,85,14,8,2,4,0,0,4,3,7,5,3,4,-1,12,3,0,169,5,6,2,0,-1,2,-1,31.19,27.19,3.119,2.719,68.81
UCL_QF_L2,Barcelona vs PSG,Estadi Olímpic Lluís Companys,1-4,1,4,38,62,8,21,4,9,214,535,76,91,10,12,5,4,2,0,1,2,3,9,5,3,-3,-24,-13,-5,-321,-15,-2,-1,-2,1,-6,2,84.71,-82.71,8.471,-8.271,15.29
UCL_QF_L1,Real Madrid vs Man City ,Estadio Santiago Bernabeu,3-3,3,3,40,60,14,12,5,6,392,656,89,92,11,9,2,2,0,0,0,0,4,2,3,2,0,-20,2,-1,-264,-3,2,0,0,0,2,1,32.64,-22.64,3.264,-2.264,67.36
UCL_QF_L2,Man City vs Real Madrid,Etihad Stadium,1-1,1,1,64,36,34,8,11,3,865,402,93,85,15,11,3,2,0,0,1,1,18,1,2,10,0,28,26,8,463,8,4,-1,0,0,17,-8,107.13,105.13,10.713,10.513,-7.13
CUP_SF_L1,Real Sociedad vs Real Madrid,Anoeta,0-1,0,1,52,48,11,14,6,5,450,434,86,84,17,9,0,2,0,0,1,2,8,8,4,6,-1,4,-3,1,16,2,8,2,0,1,0,-2,20.66,9.66,2.066,0.966,79.34
