Match ,Teams,Rivalry,Rivalry Weight,Derby,Derby Weight,Stage,Stage Weight,Star Players,Star Players Weight,H2H History,H2H History Weight,Team,Team Weight,Title Race Impact,Title Race Impact,Past KO Encounters,Past KO Encounters Weight,Leg 2 ,Leg 2 Weight,Decided,Decided Weight,Current Form,Current Form Weight,Tension Score,Label
LEAGUE_LEAGUE_,Tottenham vs Brighton,Low,0,No,0,LEAGUE,0,Medium,0.5,Rare,0,One Strong,1,No,0,No,0,No,0,NA,0,One Hot,1,2.5,Dead Fixture
LEAGUE_LEAGUE_,Juventus vs Empoli,Low,0,No,0,LEAGUE,0,Low,0,Rare,0,One Strong,1,No,0,No,0,No,0,NA,0,One Medium,0.5,1.5,Dead Fixture
LEAGUE_LEAGUE_,Milan vs Atalanta,High,2,No,0,LEAGUE,0,High,1,Hot,1,One Strong-Decent,1.5,No,0,No,0,No,0,NA,0,One Hot,1,8.5,Neutral
UCL_GS_,Celtic vs Bayern,Low,0,No,0,GS,0,Medium,0.5,Rare,0,One Strong-Decent,1.5,No,0,No,0,No,0,NA,0,One Hot,1,3,Dead Fixture
UCL_GS_,Crvena zvezda vs PSV,Low,0,No,0,GS,0,Low,0,Rare,0,One Decent,0.5,No,0,No,0,No,0,NA,0,One Hot,1,1.5,Dead Fixture
UCL_GS_,Crvena zvezda vs PSV,Low,0,No,0,GS,0,Low,0,Rare,0,Both Weak,0,Yes,1,No,0,No,0,NA,0,One Medium,0.5,2,Dead Fixture
EURO_F_,Spain vs England,Medium,1,No,0,F,5,High,1,Neutral,0.5,Both Strong,2,No,0,No,0,No,0,NA,0,Both Hot,2,12.5,Hyped
EURO_SF_,Spain vs Germany,Medium,1,No,0,SF,4,High,1,Neutral,0.5,Both Strong,2,No,0,No,0,No,0,NA,0,Both Hot,2,11.5,Hyped
EURO_SF_,Netherlands vs England,Medium,1,No,0,SF,4,High,1,Neutral,0.5,Both Strong,2,No,0,No,0,No,0,NA,0,Both Hot,2,11.5,Hyped
COPA_F_,Argentina vs Colombia,Medium,1,No,0,F,5,High,1,Neutral,0.5,Both Strong,2,No,0,No,0,No,0,NA,0,Both Hot,2,12.5,Hyped
COPA_F_,Argentina vs Brazil,High,2,No,0,F,5,High,1,Hot,1,Both Strong,2,No,0,No,0,No,0,NA,0,Both Hot,2,15,Ultra Hyped
WCQ_GS_,Argentina vs Brazil,High,2,No,0,GS,0,High,1,Hot,1,Both Strong,2,No,0,No,0,No,0,NA,0,Both Hot,2,10,Hyped
LEAGUE_LEAGUE_,Inter Miami vs Cincinnati,Medium,1,No,0,LEAGUE,0,Medium,0.5,Neutral,0.5,One Strong-Decent,1.5,Yes,1,No,0,No,0,NA,0,Both Hot,2,8,Neutral
EURO_F_,Italy vs England,Medium,1,No,0,F,5,High,1,Hot,1,Both Strong,2,No,0,No,0,No,0,NA,0,Both Hot,2,13,Ultra Hyped
EURO_SF_,Italy vs Spain,Medium,1,No,0,SF,4,High,1,Hot,1,Both Strong,2,No,0,No,0,No,0,NA,0,Both Hot,2,12,Hyped
EURO_SF_,England vs Denmark,Low,0,No,0,SF,4,Medium,0.5,Rare,0,One Strong-Decent,1.5,No,0,No,0,No,0,NA,0,One Hot-Medium,1.5,7.5,Neutral
LEAGUE_LEAGUE_,Everton vs Tottenham,Low,0,No,0,LEAGUE,0,Medium,0.5,Rare,0,One Strong-Decent,1.5,No,0,No,0,No,0,NA,0,One Hot,1,3,Dead Fixture
LEAGUE_LEAGUE_,Man City vs Arsenal,High,2,No,0,LEAGUE,0,High,1,Hot,1,Both Strong,2,Yes,1,No,0,No,0,NA,0,Both Hot,2,11.5,Hyped
UCL_GS_,Barcelona vs Brest,Low,0,No,0,GS,0,Medium,0.5,Rare,0,One Strong,1,No,0,No,0,No,0,NA,0,One Hot,1,2.5,Dead Fixture
UCL_GS_,Man City vs Inter,Low,0,No,0,GS,0,High,1,Hot,1,Both Strong,2,No,0,Yes,1,No,0,NA,0,Both Hot,2,7,Neutral
UCL_GS_,PSV vs Liverpool,Low,0,No,0,GS,0,Medium,0.5,Rare,0,One Strong-Decent,1.5,No,0,No,0,No,0,NA,0,One Hot-Medium,1.5,3.5,Dead Fixture
EURO_QF_,Spain vs Germany,Medium,1,No,0,QF,3,High,1,Neutral,0.5,Both Strong,2,No,0,Yes,1,No,0,NA,0,Both Hot,2,11.5,Hyped
EURO_QF_,Netherlands vs Türkiye,Low,0,No,0,QF,3,Medium,0.5,Rare,0,One Strong-Decent,1.5,No,0,No,0,No,0,NA,0,One Hot-Medium,1.5,6.5,Low Tension
EURO_QF_,England vs Switzerland,Low,0,No,0,QF,3,Medium,0.5,Rare,0,One Strong-Decent,1.5,No,0,No,0,No,0,NA,0,One Hot-Medium,1.5,6.5,Low Tension
EURO_QF_,Portugal vs France,Medium,1,No,0,QF,3,High,1,Neutral,0.5,Both Strong,2,No,0,No,0,No,0,NA,0,Both Hot,2,10.5,Hyped
EURO_RO16_,France vs Belgium,Medium,1,No,0,RO16,2,High,1,Neutral,0.5,Both Strong,2,No,0,No,0,No,0,NA,0,Both Hot,2,9.5,Neutral
EURO_RO16_,Switzerland vs Italy,Low,0,No,0,RO16,2,Medium,0.5,Rare,0,One Strong,1,No,0,No,0,No,0,NA,0,One Hot,1,4.5,Low Tension
EURO_RO16_,England vs Slovakia,Low,0,No,0,RO16,2,Medium,0.5,Rare,0,One Strong,1,No,0,No,0,No,0,NA,0,One Hot,1,4.5,Low Tension
EURO_RO16_,Spain vs Georgia,Low,0,No,0,RO16,2,Medium,0.5,Rare,0,One Strong,1,No,0,No,0,No,0,NA,0,One Hot,1,4.5,Low Tension
EURO_RO16_,Portugal vs Slovenia,Low,0,No,0,RO16,2,Medium,0.5,Rare,0,One Strong,1,No,0,No,0,No,0,NA,0,One Hot,1,4.5,Low Tension
EURO_RO16_,Romania vs Netherlands,Low,0,No,0,RO16,2,Medium,0.5,Rare,0,One Strong,1,No,0,No,0,No,0,NA,0,One Hot,1,4.5,Low Tension
