Match ,Teams,Venue,Normalized stat score abs,Normalized stat score pure,Ent_score,Tension Score,Stat_Ent,Diff_ten_ent,Label
EURO_SF_,England vs Denmark,Wembley Stadium,6.894,5.794,14,7.5,10.447,6.5,Exceeded Expectantions
LEAGUE_LEAGUE_,Everton vs Tottenham,Goodison Park,4.386,-3.886,5,3,4.693,2,Exceeded Expectantions
LEAGUE_LEAGUE_,Man City vs Arsenal,Etihad Stadium,14.747,14.447,10.5,11.5,12.6235,-1,Slight Letdown
UCL_GS_,Barcelona vs Brest,Estadi Olímpic Lluís Companys,13.539,12.439,6.5,2.5,10.0195,4,Exceeded Expectantions
UCL_GS_,Man City vs Inter,Etihad Stadium,4.664,4.464,6.5,7,5.582,-0.5,Lived up to hype
UCL_GS_,PSV vs Liverpool,Phillips Stadion,2.312,1.712,12,3.5,7.156,8.5,Exceeded Expectantions
EURO_QF_,Spain vs Germany,MHPArena,2.712,-1.112,11.5,11.5,7.106,0,Lived up to hype
EURO_QF_,Netherlands vs Türkiye,Olympiastadion Berlin,4.925,2.325,10,6.5,7.4625,3.5,Exceeded Expectantions
EURO_QF_,England vs Switzerland,merkur spiel arena,3.47,1.447,12,6.5,7.735,5.5,Exceeded Expectantions
EURO_QF_,Portugal vs France,Volksparkstadion,4.133,1.733,6.5,10.5,5.3165,-4,Major Letdown
EURO_RO16_,France vs Belgium,merkur spiel arena,4.313,3.613,4.5,9.5,4.4065,-5,Major Letdown
EURO_RO16_,Switzerland vs Italy,Olympiastadion Berlin,2.957,1.743,4,4.5,3.4785,-0.5,Lived up to hype
EURO_RO16_,England vs Slovakia,Veltins-Arena,5.536,4.436,12.5,4.5,9.018,8,Exceeded Expectantions
EURO_RO16_,Spain vs Georgia,RheinEnergieStadion,15.879,15.279,9.5,4.5,12.6895,5,Exceeded Expectantions
EURO_RO16_,Portugal vs Slovenia,Deutsche Bank Park,11.465,10.465,10,4.5,10.7325,5.5,Exceeded Expectantions
EURO_RO16_,Romania vs Netherlands,Allianz Arena,9.429,-8.629,10.5,4.5,9.9645,6,Exceeded Expectantions
EURO_RO16_,Austria vs Türkiye,Red Bull Arena Leipzig,6.285,5.885,9,2.5,7.6425,6.5,Exceeded Expectantions
COPA_SF_,Argentina vs Canada,MetLife Stadium,2.02,0.2,5,9.5,3.51,-4.5,Major Letdown
COPA_SF_,Uruguay vs Colombia,Bank of America Stadium,4.501,2.901,5,12.5,4.7505,-7.5,Major Letdown
COPA_QF_,Argentina vs Ecuador,NRG Stadium,0.78,-0.12,12,8,6.39,4,Exceeded Expectantions
COPA_QF_,Venezuela vs Canada,AT&T Stadium,3.433,0.133,10.5,5,6.9665,5.5,Exceeded Expectantions
COPA_QF_,Colombia vs Panama,State Farm Stadium,3.22,0.226,8,5,5.61,3,Exceeded Expectantions
COPA_QF_,Uruguay vs Brazil,Allegiant Stadium,5.035,-2.035,6.5,12.5,5.7675,-6,Major Letdown
COPA_SF_,Brazil vs Peru,Olympic Stadium,4.806,4.406,5,6.5,4.903,-1.5,Slight Letdown
COPA_SF_,Argentina vs Colombia,Arena BRB Mané Garrincha,1.504,0.096,11,11.5,6.252,-0.5,Lived up to hype
COPA_QF_,Peru vs Paraguay,Estadio Olimpico Pedro Ludovico,3.534,1.434,21.5,6.5,12.517,15,Exceeded Expectantions
